t,y_true,y_approx_euler,y_approx_taylor,y_approx_rk2,y_approx_rk4,rel_error_euler,rel_error_taylor,rel_error_rk2,rel_error_rk4
0.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0
0.1,11.051709180756477,11.0,11.05,11.05,11.051708333333334,0.004678839737085622,0.00015465305627109945,0.00015465305627109945,7.667800995077961e-08
0.2,12.214027581601698,12.156880098832126,12.155,12.210344004941607,12.212137708333334,0.004678839777373297,0.004832769238039405,0.00030158572460191866,0.0001547297237548063
0.30000000000000004,13.498588075760033,13.435430339761869,13.433352509209499,13.434521516988093,13.433351479166665,0.004678839813827582,0.004832769275692683,0.004746167055858177,0.004832845583136926
0.4,14.918246976412703,14.848446883336036,14.846150525436865,14.847442478836776,14.846149387063486,0.0046788398468123275,0.004832769309762791,0.004746167089317535,0.004832845617207295
0.5,16.487212707001284,16.410071674053974,16.40753380608632,16.40896163541141,16.407532547989163,0.004678839876658601,0.004832769340590754,0.004746167119593163,0.004832845648035994
0.6,18.221188003905088,18.135933977701413,18.133129199829643,18.134707195275706,18.133127809417257,0.004678839903663995,0.004832769368484803,0.004746167146987379,0.004832845675930263
0.7,20.137527074704764,20.043306804295597,20.040207045360063,20.041951000035905,20.040205508716728,0.0046788399281001815,0.004832769393724485,0.004746167171774891,0.004832845701170441
0.7999999999999999,22.255409284924674,22.15127978217524,22.147854018746635,22.149781386736827,22.14785232049312,0.004678839950210605,0.004832769416562713,0.0047461671942034605,0.004832845724008622
0.8999999999999999,24.596031111569495,24.48095021341714,24.47716415930364,24.479294230354824,24.477162282443235,0.004678839970217042,0.0048327694372273,0.004746167214497974,0.004832845744673853
